projectCategory, slug                                                     , projectAge, projectSummary          , privateBathrooms, publicBathrooms, furnishingType                                                                  , lift        , ageOfProperty, parkingType, listingType       , floorPlanImage                                                                                , maintenanceCharges       , createdAt, updatedAt, Address info                                                                                                                                                                                         , Variant details                                                                                                                                                                                                                                                                       , Configuration info                     , Title                                                  , Possession Status
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-f05bbc2ef47cc262.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 0.0,  ""UNFURNISHED""   , 719.46, 10000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-18d491c4116a4a1d.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866054-66f1c36cd5370f62.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "3.0, 2.0,  ""UNFURNISHED""   , 1090.59, 15000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757403866055-12dde6891b923a80.jpg""""]""                                                                                           ,  ""na""                       ", "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672773-6523197b4bafe2f8.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 422.0, 4190000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672775-37d2dedeb898bfd3.jpg""""]""                                                                                           ,  ""na""                       "   , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672776-9c48211b8fc08a50.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 580.0, 5770000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757409672776-55a3d0d5d7d3bb44.jpg""""]""                                                                                           ,  ""na""                       "   , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089519-382dc615d1a8a01c.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 0.0,  ""UNFURNISHED""   , 518.71, 17000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089520-1fd3665afc1a746a.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089523-4a25ba0ab26ba4af.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 712.68, 24000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089524-f866cded7e572242.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089524-85f5063857a9e066.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "3.0, 0.0,  ""UNFURNISHED""   , 1098.46, 37000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411089525-9e16be48ea1c5dca.jpg""""]""                                                                                           ,  ""na""                       ", "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900104-d2b27e1086902c25.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 425.39, 12000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900105-0cd46f586c660d51.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900105-92746a06993e21a1.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "2.0, 2.0,  ""UNFURNISHED""   , 589.43, 17000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900106-3270032d1b3b29a6.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900106-2052b7fd49a2faaa.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "1.0, 1.0,  ""UNFURNISHED""   , 710.63, 21000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757411900108-5b7ad0636af0eef0.jpg""""]""                                                                                           ,  ""na""                       " , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
Unknown        , Unknown                                                  ,           , Unknown                 ,                 ,                , " ""[]""                                                                       ", " ""false""",              ,            , " ""Sell""       ", " ""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263429-b34f6e00dad04cee.jpg"" ",                          ,          ,          , "Unknown, Unknown, 0.0"                                                                                                                                                                              , "0.0, 2.0,  ""UNFURNISHED""   , 835.0, 67000000.0,  ""[""""https://pub-d28896f69c604ec5aa743cb0397740d9.r2.dev/1757416263441-db4005e8699b54f5.jpg""""]""                                                                                           ,  ""na""                       "  , "Unknown, Unknown, Unknown"            , Unknown - Unknown                                      , Unknown - NaT
